X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	KR	realZxx_real	imagZxx_real	realZxy_real	imagZxy_real	realZyx_real	imagZyx_real	realZyy_real	imagZyy_real
-1000	-3000	0.1	-3.85E-05	3.28E-06	0.0338736	-0.0351787	-0.026868	0.0282552	-9.53E-06	3.85E-06	2.371484483	-1.57E-07	4.95E-07	0.0200662	-0.0200011	-0.0200739	0.0200048	2.97E-07	-5.26E-07
0	-3000	0.1	3.89E-05	5.54E-06	0.0301918	-0.0269063	-0.019784	0.019871	-2.69E-05	9.86E-08	1.412591471	-1.13E-07	-1.99E-07	0.020065	-0.0200017	-0.0200671	0.0200045	1.99E-07	3.15E-07
1000	-3000	0.1	5.54E-06	-4.29E-07	0.016324	-0.0101505	-0.0163441	0.0100928	-3.70E-06	-3.69E-06	0.459684474	2.99E-07	4.51E-08	0.0200732	-0.0200125	-0.0200715	0.020006	-3.97E-07	1.35E-07
2000	-3000	0.1	0.000165687	-4.43E-05	0.0302075	-0.0270114	-0.0196332	0.0199279	-0.000151164	8.28E-05	1.410250869	2.95E-06	-3.84E-06	0.0200298	-0.020063	-0.020048	0.0200504	-1.13E-06	2.17E-06
3000	-3000	0.1	-0.000581369	0.000252621	0.0328488	-0.0352955	-0.0333223	0.0354226	0.000542213	-0.000293285	2.968994961	-6.58E-06	-1.73E-05	0.0195011	-0.0200792	-0.0198025	0.0200955	-1.46E-06	4.50E-06
4000	-3000	0.1	0.000145445	-0.00012891	0.0189034	-0.0200367	-0.0193588	0.0199012	-0.000152965	8.84E-05	0.999961801	-1.20E-05	-1.92E-05	0.0190218	-0.0200232	-0.0192564	0.0199001	2.43E-06	6.74E-06
5000	-3000	0.1	1.03E-05	-3.72E-05	0.018987	-0.0200618	-0.0190835	0.0199148	-2.93E-06	9.02E-06	1.000303741	-6.76E-06	-1.11E-05	0.0189845	-0.0200373	-0.0190523	0.0199598	1.50E-06	4.16E-06
6000	-3000	0.1	-4.05E-06	-1.56E-05	0.0190571	-0.0200692	-0.0189877	0.0199837	-3.39E-06	4.03E-06	1.001707465	-2.74E-06	-5.88E-06	0.0189852	-0.0200297	-0.0190065	0.0200085	8.84E-07	1.84E-06
7000	-3000	0.1	-6.57E-06	-9.75E-06	0.0126126	-0.0131324	-0.012629	0.01309	5.90E-07	1.64E-06	0.434905902	-7.76E-07	-2.57E-06	0.0189876	-0.0200287	-0.0189939	0.0200148	2.84E-07	7.89E-07
8000	-3000	0.1	-2.14E-05	-2.90E-07	0.0188901	-0.02001	-0.0190045	0.0200114	-6.76E-06	1.15E-06	0.997086987	-3.58E-08	-9.10E-07	0.0189831	-0.0200271	-0.018989	0.0200316	-1.36E-08	2.95E-07
9000	-3000	0.1	6.07E-05	5.10E-05	0.0349451	-0.0389207	-0.0266354	0.0301778	-4.26E-05	1.94E-05	2.764870259	6.89E-08	-2.90E-07	0.0189831	-0.0200271	-0.0189867	0.0200255	-4.45E-08	9.31E-08
-9000	0	0.1	-1.83E-06	-4.09E-06	0.018853	-0.0199918	-0.0190052	0.0200251	-1.13E-06	-1.60E-06	0.996383995	5.31E-09	-2.67E-08	0.0189831	-0.0200271	-0.0189858	0.0200224	9.89E-10	4.28E-09
-8000	0	0.1	-8.46E-06	-1.47E-06	0.0191125	-0.0200647	-0.0189381	0.0199782	1.66E-06	-1.15E-06	1.0016516	-6.76E-10	-5.44E-08	0.0189831	-0.0200271	-0.0189944	0.0200219	1.73E-09	7.38E-09
-7000	0	0.1	-6.24E-08	1.49E-06	0.0086687	-0.00901436	-0.0185362	0.0165736	2.28E-06	2.37E-06	0.408315476	-1.70E-08	-9.61E-08	0.0189831	-0.0200271	-0.0190062	0.0200124	1.30E-09	1.17E-08
-6000	0	0.1	4.27E-06	-5.28E-06	0.0189609	-0.0200151	-0.0189921	0.0199222	2.69E-06	7.63E-07	0.996681544	-6.10E-08	-1.20E-07	0.0189831	-0.0200271	-0.0190241	0.0199852	5.53E-09	2.68E-08
-5000	0	0.1	-5.94E-05	-5.42E-05	0.0320125	-0.0351386	-0.0321376	0.034694	5.52E-06	8.53E-06	2.947970714	-6.67E-08	-8.56E-08	0.0189935	-0.0200258	-0.0191343	0.0199298	1.12E-09	2.18E-08
-4000	0	0.1	-5.82E-05	1.98E-05	0.00870593	-0.00901239	-0.00896553	0.00896964	5.63E-05	-2.34E-05	0.205621321	-2.57E-08	-5.15E-08	0.0191576	-0.0200091	-0.0195276	0.019925	-1.61E-08	1.79E-08
-3000	0	0.1	0.000121093	-5.03E-05	0.0200534	-0.0201288	-0.0200543	0.0200326	-0.000119164	5.93E-05	1.005728597	-9.71E-10	-2.26E-08	0.0198717	-0.0201028	-0.0199812	0.0200829	-3.43E-08	2.24E-09
-2000	0	0.1	9.97E-06	8.00E-06	0.0091888	-0.00902856	-0.00919051	0.00903129	-3.73E-06	-1.34E-06	0.206571681	2.19E-09	1.60E-09	0.0200649	-0.0200166	-0.0200709	0.0200247	-2.96E-08	9.39E-09
-1000	0	0.1	8.26E-06	-2.57E-06	0.0202828	-0.0200354	-0.019972	0.0199542	-1.51E-05	-4.12E-06	1.002981168	-1.05E-08	1.20E-08	0.0200667	-0.0199973	-0.0200681	0.0199929	-1.99E-08	-8.63E-10
0	0	0.1	-5.59E-05	3.09E-05	0.0166732	-0.0157501	-0.0165218	0.0157251	5.07E-05	-3.14E-05	0.652006495	-1.76E-08	1.20E-08	0.0200667	-0.0199973	-0.0200613	0.0199925	-4.68E-10	-6.24E-09
1000	0	0.1	-2.51E-05	1.31E-05	0.0166394	-0.0157651	-0.0133711	0.0131006	1.24E-06	4.14E-08	0.534380255	6.41E-09	1.38E-08	0.0200711	-0.0199988	-0.0200715	0.020006	-4.61E-09	-3.53E-09
2000	0	0.1	7.31E-05	-5.18E-05	0.0235245	-0.0242059	-0.0234553	0.0241819	-8.01E-05	4.14E-05	1.415066716	1.40E-08	-4.87E-10	0.0200273	-0.0200533	-0.0200468	0.020051	-1.12E-09	-3.81E-09
3000	0	0.1	-6.37E-05	4.20E-05	0.022729	-0.0242001	-0.0231975	0.0242006	7.15E-05	-3.85E-05	1.409547714	-4.05E-08	-3.91E-08	0.0195048	-0.0200699	-0.0198037	0.0200949	9.45E-09	-2.78E-08
4000	0	0.1	-1.35E-06	3.71E-06	0.0189447	-0.0200157	-0.0193233	0.0198395	6.04E-06	-3.17E-06	0.99780656	-1.12E-07	-6.47E-08	0.0190267	-0.0200134	-0.0192674	0.019902	3.15E-08	-3.36E-08
